n,t_symbolic,t_true,delta_t_original,delta_t_corrected,abs_delta_corrected,correction_1,correction_2,correction_3,correction_4,correction_5,correction_6,correction_7,correction_8,correction_9
2,3.1162398065095056,6.79854021274079,-3.6823004062312847,-40375.96389086566,40375.96389086566,33.335605467578795,9179.938269632168,11799.008571738003,8484.44732357479,2791.0863656477886,2216.9547258487214,4082.149808891995,436.1493450592483,1349.211574599137
3,4.785293502204208,7.149002168450319,-2.3637086662461106,-40363.89552840649,40363.89552840649,26.00138533153573,9180.68919084405,11799.009418199024,8482.681852564754,2794.207201941143,2213.9267106770685,4083.838505943553,433.5203025827172,1347.6572516564
4,6.485136460004803,7.931630248197589,-1.446493788192786,-40355.34722508288,40355.34722508288,20.79767228141603,9181.221945571193,11799.009792056322,8481.428581928094,2796.421131015457,2211.7778750227144,4085.0354171936897,431.6547770781323,1346.5535391476656
5,8.164350062722137,8.783915696240271,-0.6195656335181337,-40348.59887661823,40348.59887661823,16.76135838417982,9181.635163747287,11799.009952443581,8480.456098754756,2798.13819357689,2210.1108660758396,4085.9631055669306,430.2076548606051,1345.6969175746394
6,9.816331439851151,9.643459343450871,0.17287209640027967,-40342.96680268386,40342.96680268386,13.463449551758945,9181.972775585658,11799.009999439822,8479.661281604089,2799.5410097891245,2208.74866342936,4086.720622809249,429.02519997595914,1344.9966725952422
7,11.445998299151695,10.493985171025079,0.952013128126616,-40338.094766943,40338.094766943,10.675107224671583,9182.258213911573,11799.00998020347,8478.989104524648,2800.7269855099394,2207.5968273033113,4087.3607721611866,428.02539968265023,1344.40438954968
8,13.059904479293104,11.330900354567984,1.7290041247251207,-40333.771578754066,40333.771578754066,8.259735154448379,9182.50546560268,11799.009919864391,8478.406713279599,2801.7542588442348,2206.5989798934543,4087.9150559720165,427.15929711923286,1343.8911571487413
9,14.66365140273346,12.153303686365543,2.5103477163679173,-40329.861673936226,40329.861673936226,6.129225949152663,9182.723552247144,11799.009832986925,8477.892911502024,2802.660327602722,2205.7187532720286,4088.4037849237484,426.3953127131989,1343.438320455652
10,16.261459386644034,12.961575361497493,3.2998840251465413,-40326.273072836586,40326.273072836586,4.223420494070128,9182.91863358312,11799.009728541898,8477.433223673543,2803.470793571327,2204.931313846373,4088.8408216921493,425.71188333131767,1343.0331381279386
11,17.8563298990054,13.75653192067765,4.099797978327748,-40322.94071334731,40322.94071334731,2.4994097376205717,9183.095103013604,11799.009612314458,8477.017323239812,2804.2039165443275,2204.2189476751137,4089.236050610481,425.0936283508528,1342.666519839361
12,19.450320765134684,14.539103720200075,4.9112170449346095,-40319.81703464405,40319.81703464405,0.9255112208876414,9183.256204406978,11799.00948817035,8476.637584293208,2804.873178271265,2203.5685746782356,4089.5967676889604,424.5291909470541,1342.3317520120495
13,21.044797505121018,15.310207999091576,5.734589506029442,-40316.86632151044,40316.86632151044,-0.5223350661527255,9183.404401152815,11799.009358766047,8476.288214836015,2805.4888165234124,2202.9702611754196,4089.9285120732534,424.0099463871718,1342.0237351684814
14,22.640631316376215,16.070700832272284,6.569930484103931,-40314.06114177142,40314.06114177142,-1.8628313506223124,9183.541608054446,11799.009225967997,8475.964712088666,2806.0587889850894,2202.4162851880237,4090.23558834488,423.52919036340825,1341.738504613642
15,24.23834624134415,16.821362269617943,7.416983971726207,-40311.38001443431,40311.38001443431,-3.110803531367167,9183.669343021593,11799.00909111085,8475.663506128112,2806.58940376907,2201.9005249666843,4090.5214081018066,423.0816080189665,1341.4729168203223
16,25.83822567204871,17.562895549580375,8.275330122468336,-40308.805834104794,40308.805834104794,-4.2782035375984915,9183.788829704838,11799.008955162197,8475.38171874344,2807.0857460111297,2201.418045247691,4090.7887210189156,422.66291468036735,1341.2244371962804
17,27.440388395136267,18.295932035255536,9.144456359880731,-40306.32477738689,40306.32477738689,-5.374807274846289,9183.901068959429,11799.008818830864,8475.1169955078,2807.551974899718,2200.964809149837,4091.039775701161,422.2696056926516,1340.9909922801583
18,29.044842487043496,19.021038137266643,10.023804349776853,-40303.92552604865,40303.92552604865,-6.40871277269372,9184.006889850845,11799.008682639927,8474.867385910222,2807.991535669789,2200.537472537356,4091.276434466674,421.89877786464194,1340.7708642316713
19,30.65152332505724,19.738722555515338,10.912800769541903,-40301.59870393656,40301.59870393656,-7.386703467949769,9184.10698685108,11799.008546977073,8474.631255931272,2808.4073141987024,2200.133234050013,4091.500257038496,421.5479992522913,1340.5626138751184
20,32.26032028006388,20.44944312474353,11.810877155320348,-40299.33646147553,40299.33646147553,-8.314518196305862,9184.201947482608,11799.008412129971,8474.407223063577,2808.801751898706,2199.7497236417967,4091.7125627331056,421.21521238008364,1340.3650234973065
21,33.871095365455716,21.15361299381606,12.717482371639655,-40297.1321641538,40297.1321641538,-9.197055242243797,9184.292273210467,11799.008278311583,8474.194107198546,2809.1769325463515,2199.3849183398074,4091.9144774523693,420.8986610980438,1340.1770536105278
22,35.483696174177645,21.851606075094814,13.63209009908283,-40294.980155602374,40294.980155602374,-10.03852887700032,9184.37839546959,11799.008145678528,8473.990892945854,2809.534648892544,2199.0370776162804,4092.1069697279095,420.5968344688666,1339.9978097788846
23,37.09796476081853,22.543761792532543,14.554202968285985,-40292.875575056605,40292.875575056605,-10.842591071289686,9184.460688126403,11799.008014344565,8473.796700333558,2809.876454452616,2198.7046931370364,4092.290878742416,420.30842313787167,1339.826516821714
24,38.7137436461634,23.230389194281596,15.483354451881805,-40290.81421504685,40290.81421504685,-11.612427285352286,9184.539477286224,11799.007884390656,8473.61076174692,2810.2037042651336,2198.386449211555,4092.4669363797348,420.03228499493343,1339.662498508933
25,40.330879782047866,23.91177050643185,16.419109275616016,-40288.792409245456,40288.792409245456,-12.350832691736215,9184.615049097236,11799.007755872508,8473.432403576724,2810.517587324151,2198.081191321184,4092.6357847683294,419.7674178503565,1339.5051614023116
26,41.94922707383693,24.58816420313557,17.36106287070136,-40286.80694319545,40286.80694319545,-13.06027343963248,9184.687656022897,11799.007628826319,8473.26103146809,2810.819152646246,2197.787900822944,4092.7979903800583,419.5129374727312,1339.3539818664922
27,43.56864788718273,25.25980766185779,18.30884022532494,-40284.85498259594,40284.85498259594,-13.742936350737377,9184.757521929907,11799.00750327315,8473.096118353962,2811.1093304149626,2197.505674429468,4092.9540554652644,419.2680597736368,1339.2084955316523
28,45.18901384428615,25.926919464248854,19.262094380037297,-40282.93401519744,40282.93401519744,-14.400769572941375,9184.824846250389,11799.007379222323,8472.937194665352,2811.3889492776934,2197.233707422219,4093.1044274061164,419.0320862337,1339.0682886726265
29,46.81020612822591,26.58970139480402,20.220504733421887,-40281.04180334883,40281.04180334883,-15.035516096952367,9184.88980741333,11799.007256674044,8472.783840259755,2811.65875060572,2196.9712798114447,4093.24950642701,418.804391887067,1338.932991100839
30,48.4321154518752,27.248340181776783,21.183775270098415,-40279.17634495513,40279.17634495513,-15.64874158853653,9184.952565694062,11799.007135621445,8472.63567771814,2811.919400335577,2196.7177448431257,4093.389651996583,418.58441534358764,1338.8022702612361
31,50.05464180337919,27.903009018012536,22.151632785366655,-40277.33584113139,40277.33584113139,-16.241857655427392,9185.013265596299,11799.007016052208,8472.492366741124,2812.1714988679128,2196.4725193909526,4093.525188179027,418.3716504475828,1338.67582629708
32,51.67769404809697,28.55386889351132,23.123825154585646,-40275.51866922971,40275.51866922971,-16.81614141899861,9185.07203785587,11799.006897949828,8472.353599434891,2812.415589394109,2196.2350758740595,4093.656408135058,418.1656392612607,1338.5533878982042
33,53.30118944377784,29.201069766554568,24.10011967722327,-40273.72336020812,40273.72336020812,-17.372752073481777,9185.12900113601,11799.006781294605,8472.21909632254,2812.6521649411184,2196.0049354186945,4093.7835779296865,417.9659661281209,1338.4347087880478
34,54.92505310902974,29.84475159604211,25.08030151298763,-40271.94857953352,40271.94857953352,-17.91274497236422,9185.184263469497,11799.006666064459,8472.088602950857,2812.881674364245,2195.7816620409167,4093.9069397710787,417.7722526227886,1338.3195647350371
35,56.54921747305572,30.485045254174924,26.064172218880795,-40270.19311097832,40270.19311097832,-18.437083672301075,9185.237923491668,11799.006552235547,8471.961886988964,2813.104527470931,2195.564857672688,4094.0267147795444,417.5841532330469,1338.207750997111
36,58.173621725903274,31.122073335682362,27.051548390220912,-40268.45584280155,40268.45584280155,-18.946650280198117,9185.290071499716,11799.006439782781,8471.838735735662,2813.3210994225233,2195.3541578887157,4094.143105366139,417.40135165027226,1338.0990801261655
37,59.7982112821702,31.75595087733733,28.04226040483287,-40266.73575590664,40266.73575590664,-19.4422543820065,9185.340790366787,11799.006328680223,8471.718953968271,2813.531734532761,2195.1492282188683,4094.2562972851265,417.2235575681885,1337.9933800732508
38,61.422937266575985,32.38678599944935,29.036151267126634,-40265.03191364539,40265.03191364539,-19.924640780848723,9185.390156334168,11799.006218901399,8471.602362078338,2813.7367495595636,2194.949760952371,4094.366461412515,417.0505039086188,1337.8904925463953
39,63.04775602655974,33.01468047930503,30.03307554725471,-40263.34345300167,40263.34345300167,-20.394496229641273,9185.43823970054,11799.006110419568,8471.48879444947,2813.936436569123,2194.7554723571725,4094.4737552934016,416.88194440761214,1337.7902715816776
40,64.67262867475567,33.63973026508229,31.03289840967338,-40261.66957693583,40261.66957693583,-20.85245531122218,9185.485105423955,11799.006003207918,8471.37809804051,2814.131065437304,2194.5661002513516,4094.5783244932804,416.71765150723724,1337.6925822951641
41,66.29752066257018,34.26202593755067,32.03549472501951,-40260.00954771094,40260.00954771094,-21.29910559241172,9185.530813649475,11799.005897239727,8471.270131143658,2814.3208860420914,2194.38140187444,4094.6803037823697,416.55741450769915,1337.5972997889078
