phi,mean_abs_delta_t,max_abs_delta_t
2.641593,243727.347368,249940.078972
2.691593,221438.65358,227644.283359
2.741593,198612.180285,204811.416151
2.791593,175304.981779,181498.547624
2.841593,151575.313918,157763.947808
2.891593,127482.488514,133666.940843
2.941593,103086.725085,109267.756695
2.991593,78449.000333,84627.38062
3.041593,53630.895739,59807.400724
3.091593,28694.44364,34869.854031
3.141593,4062.366946,9877.07142
3.191593,21284.050482,26460.561715
3.241593,46201.172297,51380.939099
3.291593,70987.113439,76172.184605
3.341593,95579.921963,100772.348757
3.391593,119918.128655,125119.962588
3.441593,143940.900675,149154.196042
3.491593,167588.193603,172815.007195
3.541593,190800.901521,196043.294535
3.591593,213521.004749,218781.041375
3.641593,235691.714861,240971.465714
